timestamp,short_address,terminal_id,stage,period_ms,sequence,accepted_count,rejected_count,application_length,gateway_frame_length,rssi_dbm
2026-07-29T15:42:27.740+08:00,0xB25B,1,4,50,1325,1325,0,32,49,-59
2026-07-29T15:42:27.740+08:00,0xB25B,1,4,50,1326,1326,0,32,49,-59
2026-07-29T15:42:27.788+08:00,0xB25B,1,4,50,1327,1327,0,32,49,-57
2026-07-29T15:42:27.837+08:00,0xB25B,1,4,50,1328,1328,0,32,49,-59
2026-07-29T15:42:27.894+08:00,0xB25B,1,4,50,1329,1329,0,32,49,-59
2026-07-29T15:42:27.941+08:00,0xB25B,1,4,50,1330,1330,0,32,49,-59
2026-07-29T15:42:27.991+08:00,0xB25B,1,4,50,1331,1331,0,32,49,-60
2026-07-29T15:42:28.041+08:00,0xB25B,1,4,50,1332,1332,0,32,49,-59
2026-07-29T15:42:28.098+08:00,0xB25B,1,4,50,1333,1333,0,32,49,-59
2026-07-29T15:42:28.144+08:00,0xB25B,1,4,50,1334,1334,0,32,49,-59
2026-07-29T15:42:28.238+08:00,0xB25B,1,4,50,1335,1335,0,32,49,-59
2026-07-29T15:42:28.287+08:00,0xB25B,1,4,50,1336,1336,0,32,49,-59
2026-07-29T15:42:28.332+08:00,0xB25B,1,4,50,1337,1337,0,32,49,-60
2026-07-29T15:42:28.380+08:00,0xB25B,1,4,50,1338,1338,0,32,49,-59
2026-07-29T15:42:28.424+08:00,0xB25B,1,4,50,1339,1339,0,32,49,-59
2026-07-29T15:42:28.471+08:00,0xB25B,1,4,50,1340,1340,0,32,49,-59
2026-07-29T15:42:28.518+08:00,0xB25B,1,4,50,1341,1341,0,32,49,-59
2026-07-29T15:42:28.566+08:00,0xB25B,1,4,50,1342,1342,0,32,49,-60
2026-07-29T15:42:28.613+08:00,0xB25B,1,4,50,1343,1343,0,32,49,-60
2026-07-29T15:42:28.659+08:00,0xB25B,1,4,50,1344,1344,0,32,49,-60
2026-07-29T15:42:28.706+08:00,0xB25B,1,4,50,1345,1345,0,32,49,-59
2026-07-29T15:42:28.753+08:00,0xB25B,1,4,50,1346,1346,0,32,49,-59
2026-07-29T15:42:28.798+08:00,0xB25B,1,4,50,1347,1347,0,32,49,-59
2026-07-29T15:42:28.850+08:00,0xB25B,1,4,50,1348,1348,0,32,49,-59
2026-07-29T15:42:28.901+08:00,0xB25B,1,4,50,1349,1349,0,32,49,-59
2026-07-29T15:42:28.954+08:00,0xB25B,1,4,50,1350,1350,0,32,49,-60
2026-07-29T15:42:29.002+08:00,0xB25B,1,4,50,1351,1351,0,32,49,-60
2026-07-29T15:42:29.052+08:00,0xB25B,1,4,50,1352,1352,0,32,49,-59
2026-07-29T15:42:29.109+08:00,0xB25B,1,4,50,1353,1353,0,32,49,-59
2026-07-29T15:42:29.158+08:00,0xB25B,1,4,50,1354,1354,0,32,49,-59
2026-07-29T15:42:29.251+08:00,0xB25B,1,4,50,1355,1355,0,32,49,-59
2026-07-29T15:42:29.298+08:00,0xB25B,1,4,50,1356,1356,0,32,49,-59
2026-07-29T15:42:29.344+08:00,0xB25B,1,4,50,1357,1357,0,32,49,-59
2026-07-29T15:42:29.390+08:00,0xB25B,1,4,50,1358,1358,0,32,49,-59
2026-07-29T15:42:29.439+08:00,0xB25B,1,4,50,1359,1359,0,32,49,-59
2026-07-29T15:42:29.483+08:00,0xB25B,1,4,50,1360,1360,0,32,49,-59
2026-07-29T15:42:29.531+08:00,0xB25B,1,4,50,1361,1361,0,32,49,-59
2026-07-29T15:42:29.577+08:00,0xB25B,1,4,50,1362,1362,0,32,49,-59
2026-07-29T15:42:29.623+08:00,0xB25B,1,4,50,1363,1363,0,32,49,-59
2026-07-29T15:42:29.672+08:00,0xB25B,1,4,50,1364,1364,0,32,49,-60
2026-07-29T15:42:29.718+08:00,0xB25B,1,4,50,1365,1365,0,32,49,-59
2026-07-29T15:42:29.764+08:00,0xB25B,1,4,50,1366,1366,0,32,49,-60
2026-07-29T15:42:29.811+08:00,0xB25B,1,4,50,1367,1367,0,32,49,-60
2026-07-29T15:42:29.860+08:00,0xB25B,1,4,50,1368,1368,0,32,49,-61
2026-07-29T15:42:29.906+08:00,0xB25B,1,4,50,1369,1369,0,32,49,-60
2026-07-29T15:42:29.954+08:00,0xB25B,1,4,50,1370,1370,0,32,49,-61
2026-07-29T15:42:30.005+08:00,0xB25B,1,4,50,1371,1371,0,32,49,-60
2026-07-29T15:42:30.059+08:00,0xB25B,1,4,50,1372,1372,0,32,49,-60
2026-07-29T15:42:30.107+08:00,0xB25B,1,4,50,1373,1373,0,32,49,-60
2026-07-29T15:42:30.157+08:00,0xB25B,1,4,50,1374,1374,0,32,49,-59
2026-07-29T15:42:30.213+08:00,0xB25B,1,4,50,1375,1375,0,32,49,-60
2026-07-29T15:42:30.261+08:00,0xB25B,1,4,50,1376,1376,0,32,49,-60
2026-07-29T15:42:30.312+08:00,0xB25B,1,4,50,1377,1377,0,32,49,-59
2026-07-29T15:42:30.368+08:00,0xB25B,1,4,50,1378,1378,0,32,49,-60
2026-07-29T15:42:30.415+08:00,0xB25B,1,4,50,1379,1379,0,32,49,-59
2026-07-29T15:42:30.465+08:00,0xB25B,1,4,50,1380,1380,0,32,49,-59
2026-07-29T15:42:30.522+08:00,0xB25B,1,4,50,1381,1381,0,32,49,-59
2026-07-29T15:42:30.570+08:00,0xB25B,1,4,50,1382,1382,0,32,49,-60
2026-07-29T15:42:30.617+08:00,0xB25B,1,4,50,1383,1383,0,32,49,-59
2026-07-29T15:42:30.666+08:00,0xB25B,1,4,50,1384,1384,0,32,49,-59
2026-07-29T15:42:30.724+08:00,0xB25B,1,4,50,1385,1385,0,32,49,-60
2026-07-29T15:42:30.770+08:00,0xB25B,1,4,50,1386,1386,0,32,49,-59
2026-07-29T15:42:30.817+08:00,0xB25B,1,4,50,1387,1387,0,32,49,-60
2026-07-29T15:42:30.866+08:00,0xB25B,1,4,50,1388,1388,0,32,49,-59
2026-07-29T15:42:30.916+08:00,0xB25B,1,4,50,1389,1389,0,32,49,-60
2026-07-29T15:42:30.974+08:00,0xB25B,1,4,50,1390,1390,0,32,49,-60
2026-07-29T15:42:31.021+08:00,0xB25B,1,4,50,1391,1391,0,32,49,-60
2026-07-29T15:42:31.069+08:00,0xB25B,1,4,50,1392,1392,0,32,49,-60
2026-07-29T15:42:31.115+08:00,0xB25B,1,4,50,1393,1393,0,32,49,-60
2026-07-29T15:42:31.167+08:00,0xB25B,1,4,50,1394,1394,0,32,49,-60
2026-07-29T15:42:31.223+08:00,0xB25B,1,4,50,1395,1395,0,32,49,-60
2026-07-29T15:42:31.270+08:00,0xB25B,1,4,50,1396,1396,0,32,49,-60
2026-07-29T15:42:31.320+08:00,0xB25B,1,4,50,1397,1397,0,32,49,-60
2026-07-29T15:42:31.370+08:00,0xB25B,1,4,50,1398,1398,0,32,49,-60
2026-07-29T15:42:31.427+08:00,0xB25B,1,4,50,1399,1399,0,32,49,-60
2026-07-29T15:42:31.473+08:00,0xB25B,1,4,50,1400,1400,0,32,49,-60
2026-07-29T15:42:31.521+08:00,0xB25B,1,4,50,1401,1401,0,32,49,-60
2026-07-29T15:42:31.572+08:00,0xB25B,1,4,50,1402,1402,0,32,49,-59
2026-07-29T15:42:31.630+08:00,0xB25B,1,4,50,1403,1403,0,32,49,-59
2026-07-29T15:42:31.680+08:00,0xB25B,1,4,50,1404,1404,0,32,49,-59
2026-07-29T15:42:31.738+08:00,0xB25B,1,4,50,1405,1405,0,32,49,-59
2026-07-29T15:42:31.786+08:00,0xB25B,1,4,50,1406,1406,0,32,49,-60
2026-07-29T15:42:31.832+08:00,0xB25B,1,4,50,1407,1407,0,32,49,-60
2026-07-29T15:42:31.880+08:00,0xB25B,1,4,50,1408,1408,0,32,49,-60
2026-07-29T15:42:31.926+08:00,0xB25B,1,4,50,1409,1409,0,32,49,-59
2026-07-29T15:42:31.976+08:00,0xB25B,1,4,50,1410,1410,0,32,49,-59
2026-07-29T15:42:32.027+08:00,0xB25B,1,4,50,1411,1411,0,32,49,-59
2026-07-29T15:42:32.081+08:00,0xB25B,1,4,50,1412,1412,0,32,49,-60
2026-07-29T15:42:32.127+08:00,0xB25B,1,4,50,1413,1413,0,32,49,-60
2026-07-29T15:42:32.223+08:00,0xB25B,1,4,50,1414,1414,0,32,49,-59
2026-07-29T15:42:32.268+08:00,0xB25B,1,4,50,1415,1415,0,32,49,-59
2026-07-29T15:42:32.315+08:00,0xB25B,1,4,50,1416,1416,0,32,49,-60
2026-07-29T15:42:32.362+08:00,0xB25B,1,4,50,1417,1417,0,32,49,-60
2026-07-29T15:42:32.409+08:00,0xB25B,1,4,50,1418,1418,0,32,49,-60
